# base + TSP 微调 配对逐案
arm,k,n_src,T,dist,meas,switch,clear,fail,full,coverage,supplement,on_way,queue_clear,homing,queue_homing,on_way_homing,recovery
base(δ=300),137,13,3766.0,14380,139,130,13,0,1,1820.4,0.0,348.3,1597.4,0.0,0.0,0.0,0.0
base(δ=300),138,15,4349.1,17141,142,133,16,1,1,1823.3,401.9,437.9,1672.0,0.0,14.0,0.0,0.0
base(δ=300),139,11,3992.4,15227,150,142,11,0,1,2049.8,0.0,251.8,1690.8,0.0,0.0,0.0,0.0
base(δ=300),140,16,3979.0,16060,115,109,17,1,1,1729.3,0.0,435.9,1799.8,0.0,0.0,14.0,0.0
base(δ=300),141,10,3211.4,10837,167,159,10,0,1,2101.7,0.0,299.0,810.7,0.0,0.0,0.0,0.0
base(δ=300),142,15,3593.8,13499,137,131,16,1,1,1690.0,252.9,621.3,1015.6,0.0,0.0,14.0,0.0
base(δ=300),143,16,4637.9,19200,120,112,18,2,1,1874.7,388.3,237.4,2109.5,0.0,28.0,0.0,0.0
base(δ=300),144,14,4240.0,16375,150,142,15,1,1,1985.9,0.0,298.5,1941.7,0.0,14.0,0.0,0.0
base(δ=300),145,10,3977.8,15234,148,141,10,0,1,1951.7,0.0,344.6,1681.5,0.0,0.0,0.0,0.0
base(δ=300),146,13,4133.3,16097,142,136,14,1,1,1891.1,488.8,300.5,1439.0,0.0,14.0,0.0,0.0
base(δ=300),147,16,4348.3,17011,145,138,17,1,1,2025.5,427.6,204.9,1676.4,0.0,14.0,0.0,0.0
base(δ=300),148,10,3410.2,12431,147,139,10,0,1,1882.0,0.0,456.0,1072.2,0.0,0.0,0.0,0.0
base(δ=300),149,15,4220.7,16678,136,130,15,0,1,1754.7,476.6,413.7,1575.7,0.0,0.0,0.0,0.0
base(δ=300),150,14,4353.3,17316,138,130,14,0,1,2122.3,0.0,108.4,2122.6,0.0,0.0,0.0,0.0
base(δ=300),151,14,3691.5,13517,154,145,15,1,1,2105.3,0.0,140.6,1431.6,0.0,14.0,0.0,0.0
base(δ=300),152,12,3762.7,14264,143,135,12,0,1,1932.1,130.6,300.5,1399.5,0.0,0.0,0.0,0.0
base(δ=300),153,10,3937.6,14738,158,150,10,0,1,2103.0,0.0,180.4,1654.2,0.0,0.0,0.0,0.0
base(δ=300),154,13,3768.1,14036,150,143,14,1,1,1949.4,123.4,404.3,1277.1,0.0,0.0,14.0,0.0
base(δ=300),155,16,4257.1,17055,129,121,16,0,1,1716.8,0.0,529.4,2010.9,0.0,0.0,0.0,0.0
base(δ=300),156,14,3633.2,13756,136,129,15,1,1,1663.7,129.3,615.0,1212.2,0.0,0.0,13.0,0.0
base(δ=300),157,15,4698.5,18602,152,143,15,0,1,2097.0,502.8,142.5,1956.2,0.0,0.0,0.0,0.0
