# 逐案: 当前解与下界(离线全知)
k,n_src,T,L,meas,switch,clear,fail,src_tsp,L_lb,meas_lb,T_lb
187,14,5003.6,18848,195,186,15,1,8340,6604,64,1710.7
188,13,4238.0,15215,190,180,13,0,6877,5027,68,1410.3
189,14,4167.9,15079,182,172,14,0,7909,7065,64,1803.1
190,16,4550.6,16833,185,176,17,1,10704,7629,56,1885.9
191,16,4898.2,18411,191,181,16,0,10436,7784,56,1916.7
192,15,4312.9,15939,176,167,16,1,9841,7971,60,1969.3
193,16,4476.4,16567,181,172,18,2,10347,8347,56,2029.4
194,13,4578.2,17066,185,175,13,0,10699,8603,68,2125.7
195,10,3767.7,13359,176,166,10,0,6982,5944,80,1638.8
196,11,4425.1,15990,197,187,11,0,8961,6894,76,1813.8
197,16,4172.8,15264,175,165,16,0,9534,7545,56,1869.1
198,15,4651.5,17533,180,170,15,0,10377,7830,60,1941.0
199,14,4335.9,15584,192,183,16,2,9751,7190,64,1828.1
200,13,4332.8,15944,181,171,14,1,7986,6597,68,1724.4
201,14,4417.6,16338,180,171,17,3,10908,8939,64,2177.8
202,16,4263.7,15503,182,173,16,0,9167,7230,56,1806.1
203,10,3472.5,11878,176,167,10,0,6867,5121,80,1474.2
204,15,4710.1,17511,190,180,16,1,10212,8286,60,2032.1
205,13,3755.6,13163,178,168,13,0,9431,7033,68,1811.5
206,13,4139.7,14614,193,184,14,1,7722,6359,68,1676.7
207,14,3761.9,13659,161,152,15,1,7933,6167,64,1623.4
208,10,4082.9,14724,183,173,10,0,7509,5431,80,1536.2
209,14,4617.0,17025,192,182,14,0,9024,7956,64,1981.2
210,12,4448.7,16473,184,174,12,0,9159,7360,72,1892.1
211,11,4327.0,15640,192,181,12,1,8528,7002,76,1835.3
212,10,4439.3,16192,193,183,11,1,9170,8202,80,2090.4
213,14,4278.1,15875,173,165,15,1,9598,6844,64,1758.8
214,15,4575.4,17482,169,159,15,0,9239,7697,60,1914.5
215,14,4311.7,15953,176,168,15,1,9284,8075,64,2004.9
216,14,4499.4,16657,184,175,15,1,8518,5973,64,1584.7
217,13,4301.5,15442,193,183,13,0,8599,5901,68,1585.3
218,10,4186.9,14885,195,185,10,0,8550,6935,80,1837.1
219,10,4163.1,14885,191,181,10,0,6401,5027,80,1455.3
220,10,4108.2,14771,184,175,13,3,7368,5911,80,1632.2
221,15,5133.7,19748,186,176,16,1,9853,7453,60,1865.6
222,11,4121.6,15043,178,168,11,0,9149,7357,76,1906.5
223,14,4230.2,15211,188,178,14,0,8951,6744,64,1738.8
224,13,3936.3,13992,180,170,14,1,7962,6288,68,1662.6
225,10,4390.4,16467,176,167,10,0,7372,5315,80,1512.9
226,11,3572.2,12216,180,171,12,1,7781,5568,76,1548.6
227,10,4228.0,15240,190,180,10,0,6452,5628,80,1575.6
228,13,4628.9,16915,198,188,14,1,10073,7423,68,1889.5
229,15,4835.1,18481,179,169,15,0,10899,8754,60,2125.7
230,13,4470.5,16393,189,179,14,1,10380,7587,68,1922.3
231,16,4572.8,16964,185,175,16,0,9864,8342,56,2028.4
232,15,4838.7,18269,186,177,16,1,10606,9444,60,2263.8
233,10,3981.8,14069,188,178,10,0,7586,6310,80,1712.1
234,11,3697.4,12562,189,179,13,2,7471,5592,76,1553.3
235,13,4490.9,16690,183,173,13,0,8914,6867,68,1778.4
236,13,4271.4,15347,190,181,15,2,8783,7507,68,1906.4
237,12,4339.8,15854,186,176,13,1,8657,6623,72,1744.6
238,14,4749.0,17970,182,172,15,1,10541,8335,64,2057.0
239,12,4425.2,16536,177,170,13,1,9659,7839,72,1987.7
240,15,4494.8,16539,187,177,15,0,9729,7576,60,1890.1
241,14,4058.3,14756,174,164,15,1,7192,5719,64,1533.8
242,12,4302.1,15601,188,179,13,1,8884,7074,72,1834.8
243,11,4301.0,15355,197,187,12,1,8359,6913,76,1817.7
244,12,4568.0,16940,187,179,14,2,10177,7839,72,1987.7
245,15,4306.8,15254,198,188,16,1,9058,6240,60,1622.9
246,11,3933.9,14105,178,168,11,0,6587,5636,76,1562.2
247,10,3759.9,12960,188,178,10,0,7610,6065,80,1663.0
248,10,3940.9,13904,186,177,11,1,8327,5545,80,1559.0
249,13,4227.3,15491,179,169,13,0,8913,7893,68,1983.7
250,11,3874.6,13658,183,173,11,0,8867,6451,76,1725.2
