# 问题三 权衡分析逐案明细(同一场景 + 固定误差场; need = 基础扫描后需补测频道数, 运行时可观测)
k,n_src,need_base6,T_base6,T_aux9,T_adopted,dT_adopted,dT_aux9,cov_base6,cov_adopted,sup_base6,sup_adopted,fired,resolved
100,11,0,3542.0,3542.0,3851.1,309.1,0.0,1843.0,2116.5,0.0,0.0,False,0
101,11,3,4057.1,5289.7,3870.0,-187.1,1232.6,1645.2,2233.1,424.8,0.0,True,2
102,15,4,4836.3,5374.1,4411.3,-425.0,537.8,1425.5,1948.0,772.5,0.0,True,4
103,10,2,4279.6,5458.7,3976.9,-302.7,1179.1,1857.0,2192.3,590.5,453.4,True,1
104,16,5,5367.2,6296.7,4734.7,-632.5,929.4,1791.0,2281.2,1070.9,0.0,True,3
105,15,3,4064.8,5054.3,4024.8,-40.0,989.6,1765.6,2390.8,474.1,0.0,True,3
106,16,5,5278.1,6231.8,5601.8,323.7,953.7,1876.9,2333.1,741.4,455.2,True,4
107,16,5,5507.3,5681.5,4469.4,-1038.0,174.2,1561.7,2020.6,976.2,0.0,True,4
108,10,3,3993.5,4686.2,4182.0,188.5,692.7,1676.3,2032.0,674.9,164.6,True,2
109,15,2,4351.9,5475.5,4652.8,300.8,1123.6,1568.9,2329.5,637.1,251.5,True,1
110,14,2,4087.5,4927.5,4445.7,358.2,840.1,1915.2,2308.2,443.6,173.8,True,2
111,14,1,4682.6,5612.4,4727.2,44.6,929.7,1686.1,2442.3,66.0,87.6,True,1
112,11,4,3921.0,5177.2,3734.2,-186.7,1256.3,1849.5,2278.7,611.0,0.0,True,1
113,16,3,5255.0,6306.7,5243.0,-12.0,1051.7,1575.3,2269.1,846.9,438.3,True,2
114,12,1,4434.3,5824.4,4525.6,91.4,1390.1,1966.5,2442.6,66.0,0.0,True,0
115,10,4,5139.8,6452.7,4374.9,-764.9,1312.9,2064.8,2306.7,754.1,0.0,True,2
116,12,2,4213.0,5231.2,4066.7,-146.3,1018.2,1683.5,2053.5,537.1,0.0,True,1
117,10,0,3596.7,3596.7,3874.0,277.3,0.0,1526.8,2374.2,0.0,0.0,False,0
118,13,0,3812.2,3812.2,4022.0,209.8,0.0,1618.3,2174.2,0.0,0.0,False,0
119,12,3,5509.1,5752.9,4593.1,-916.1,243.7,2053.1,2480.6,701.9,0.0,True,2
120,10,3,4084.5,5384.9,4317.0,232.6,1300.4,2087.1,2380.0,360.5,225.9,True,0
121,10,3,5213.0,5621.6,4038.7,-1174.3,408.6,1775.2,2096.7,606.8,0.0,True,2
122,16,2,3595.1,4963.5,3897.3,302.2,1368.4,1793.5,2275.5,296.5,0.0,True,1
123,16,1,4421.7,5700.9,4339.9,-81.8,1279.2,1722.2,1976.7,336.4,0.0,True,0
124,16,7,6227.1,6482.2,5055.4,-1171.7,255.2,1873.9,2435.6,1260.5,0.0,True,5
125,11,2,4793.8,5716.2,4279.1,-514.7,922.4,1631.5,2208.7,855.3,0.0,True,1
126,16,2,5015.2,5874.9,4766.1,-249.0,859.8,1663.6,2255.2,567.2,244.0,True,1
127,16,3,5349.2,5950.1,4785.2,-564.0,600.9,2041.6,2414.5,698.4,0.0,True,2
128,12,1,3887.7,5152.0,4142.6,254.9,1264.3,1769.2,2380.3,163.9,0.0,True,1
129,13,4,4870.6,5465.6,4598.7,-271.9,594.9,1579.9,2135.7,929.5,366.5,True,2
130,11,2,4570.3,5903.9,4250.6,-319.8,1333.6,2187.8,2485.3,237.4,0.0,True,1
131,13,2,4558.0,6037.6,4796.9,238.9,1479.6,2079.7,2531.7,521.2,188.1,True,0
132,14,2,4245.8,5379.9,4141.2,-104.6,1134.1,1752.3,2251.4,467.8,0.0,True,1
133,16,4,5901.5,6564.0,4912.9,-988.6,662.5,1667.8,2031.5,1016.3,127.6,True,1
134,12,5,5186.3,5620.3,4572.8,-613.6,434.0,1979.0,2431.0,848.0,0.0,True,5
135,12,4,4718.6,6005.3,4827.7,109.1,1286.6,2090.3,2432.0,581.0,360.5,True,2
136,16,4,5409.3,6206.1,4829.2,-580.1,796.8,1938.1,2548.9,792.5,79.9,True,2
137,11,1,3438.7,4772.9,3714.4,275.7,1334.2,1882.8,2104.9,180.3,135.6,True,1
138,10,4,4260.0,5404.5,4042.1,-217.9,1144.5,1895.5,2316.5,521.1,0.0,True,2
139,15,6,5699.6,5795.9,4943.5,-756.1,96.3,1611.3,2113.9,1205.7,458.0,True,4
140,10,1,3289.8,4385.8,3780.1,490.3,1096.0,1802.8,2358.3,151.6,0.0,True,1
141,12,3,4345.4,5805.5,4432.9,87.5,1460.1,2096.2,2512.1,462.5,0.0,True,0
142,15,2,5085.7,5916.3,4869.3,-216.5,830.6,1928.4,2382.0,683.2,0.0,True,2
143,10,1,3506.3,4826.8,3804.0,297.8,1320.6,1643.5,2121.5,325.9,0.0,True,0
144,13,3,4483.6,5722.3,4479.4,-4.2,1238.7,1809.5,2080.7,536.4,376.6,True,1
145,13,4,4981.5,6025.4,4434.6,-546.9,1043.9,1949.7,2358.5,716.6,0.0,True,3
146,11,3,4162.5,5256.3,3995.6,-166.9,1093.7,1682.5,2118.8,510.1,0.0,True,2
147,10,0,3229.0,3229.0,3708.6,479.6,0.0,1640.4,2217.1,0.0,0.0,False,0
148,13,3,4231.1,5046.7,3921.3,-309.8,815.6,1788.1,2183.0,617.5,0.0,True,2
149,14,3,4533.0,5600.5,4350.4,-182.5,1067.5,1614.8,2277.0,616.0,0.0,True,2
150,10,1,3720.1,5002.6,3612.2,-107.9,1282.5,1902.4,2237.0,413.1,0.0,True,0
151,10,1,4501.1,5056.7,4223.3,-277.8,555.6,1747.0,2313.7,423.2,0.0,True,1
152,15,5,4703.1,5946.1,4289.2,-413.9,1243.0,1994.1,2207.9,590.9,0.0,True,3
153,15,1,4999.7,6029.4,4738.5,-261.1,1029.7,1969.3,2478.9,379.1,0.0,True,1
154,13,3,4649.5,5699.3,4101.9,-547.6,1049.9,1748.3,2275.6,814.9,0.0,True,1
155,15,2,4940.5,5576.0,4710.1,-230.4,635.5,1632.0,2147.2,732.9,240.0,True,2
156,15,2,4976.3,5667.3,4798.2,-178.1,690.9,1975.2,2417.9,661.3,0.0,True,2
157,16,2,4550.3,5376.3,4770.5,220.2,826.0,1386.2,2229.2,472.9,274.7,True,2
158,16,5,6214.6,6114.1,4898.8,-1315.8,-100.5,1889.3,2444.6,875.4,0.0,True,4
159,10,1,4104.1,5019.1,4085.2,-18.8,915.0,1949.1,2401.4,367.0,0.0,True,1
160,12,1,3840.7,5081.2,3378.7,-462.0,1240.6,1415.3,2101.0,373.5,0.0,True,0
161,16,2,4319.4,5547.5,4477.9,158.5,1228.1,1422.4,1887.0,377.6,179.7,True,1
162,15,0,3880.7,3880.7,4204.9,324.2,0.0,1643.6,2227.2,0.0,0.0,False,0
163,13,3,4834.2,5906.9,4849.3,15.1,1072.7,1482.3,2114.3,746.2,268.2,True,2
164,16,5,5894.1,5730.2,4909.1,-985.1,-163.9,1499.9,1976.8,970.1,230.7,True,4
165,14,2,4538.9,5570.2,4361.2,-177.6,1031.4,1801.3,2381.2,562.1,0.0,True,1
166,10,1,3677.4,4888.8,3906.3,228.9,1211.4,2082.5,2367.6,66.0,0.0,True,1
167,10,1,4485.1,5817.6,4384.3,-100.9,1332.5,2144.8,2439.8,400.0,0.0,True,0
168,13,1,4602.3,5403.8,4499.7,-102.6,801.6,2067.4,2388.4,383.7,0.0,True,1
169,15,3,5334.4,5537.9,4880.9,-453.5,203.5,1780.7,2312.7,672.6,0.0,True,3
170,10,1,4063.5,4681.0,3811.3,-252.2,617.5,1703.4,2317.9,420.1,0.0,True,1
171,15,3,4806.3,5973.4,4610.3,-196.1,1167.1,1818.3,2126.9,580.8,0.0,True,1
172,11,5,4661.3,5355.6,4257.3,-404.0,694.3,1801.9,2297.8,735.3,0.0,True,4
173,13,1,4554.0,5522.6,4586.2,32.3,968.7,2192.3,2543.4,376.9,0.0,True,1
