# δ 2x2 交叉验证逐案
config,delta,k,n_src,T,dist,meas,fail,full
旧配置 1200x6 无透镜/无贝叶斯,300,130,12,4748.0,19515,132,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,131,11,3811.4,14917,130,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,132,16,4593.5,18672,131,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,133,13,3873.4,15117,132,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,134,10,4126.5,16087,144,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,135,16,5835.1,24141,160,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,136,15,5400.4,22342,145,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,137,13,3862.6,15088,131,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,138,15,5370.5,22253,143,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,139,11,4400.3,17651,137,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,140,16,5296.1,22045,134,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,141,10,3266.2,12051,135,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,142,15,4192.6,16883,124,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,143,16,5246.3,21971,128,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,144,14,5012.5,20532,140,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,145,10,4387.9,17525,140,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,146,13,4409.8,17709,134,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,147,16,5541.2,22751,153,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,148,10,4296.5,17123,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,149,15,4479.2,18156,130,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,150,14,5142.4,21267,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,151,14,4722.2,19076,140,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,152,12,4387.6,17653,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,153,10,4526.2,18276,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,154,13,4137.1,16616,126,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,155,16,5247.6,22093,126,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,156,14,4251.2,16991,131,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,157,15,5319.8,21879,145,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,158,11,3965.7,15748,128,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,159,13,5346.1,22081,146,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,160,10,3999.5,15823,132,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,161,16,4370.0,17625,128,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,162,11,3760.8,14514,135,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,163,13,4797.1,19391,145,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,164,13,5559.4,23202,144,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,165,12,4081.1,16015,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,166,11,4169.8,16409,140,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,167,13,4354.0,17335,137,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,168,16,4945.0,20180,139,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,169,14,3859.3,15142,128,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,170,15,4635.1,18815,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,171,10,4197.6,16648,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,172,13,5835.1,24490,148,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,173,13,4343.0,17280,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,174,16,4298.2,17171,131,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,175,15,4259.0,17015,130,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,176,16,5823.6,24323,149,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,177,15,5327.2,22151,139,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,178,14,3851.8,15349,119,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,179,16,4148.7,16328,135,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,180,11,4331.9,17349,135,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,181,12,4901.9,20130,138,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,182,14,5576.4,23257,145,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,183,16,4436.5,17917,130,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,184,13,6026.6,25518,145,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,185,13,4763.8,19204,145,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,186,15,5273.0,21930,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,187,12,4869.5,19957,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,188,14,5448.9,22460,150,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,189,15,5186.2,21236,146,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,190,11,4369.1,17571,134,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,191,13,4786.1,19291,146,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,192,14,3950.5,15567,128,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,193,12,5252.5,21752,141,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,194,11,4429.4,17527,147,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,195,11,4530.6,18388,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,196,16,4664.9,18985,132,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,197,14,4415.7,18014,125,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,198,16,5039.9,20604,140,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,199,13,4853.2,19911,135,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,200,13,4303.5,17248,132,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,201,16,4743.8,19104,144,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,202,10,4075.9,15954,141,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,203,10,3906.4,15277,134,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,204,13,4299.6,17398,127,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,205,14,4957.9,20030,149,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,206,15,4418.5,17982,125,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,207,12,4600.8,18434,144,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,208,11,3944.5,15667,127,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,209,16,4050.4,16242,121,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,210,11,3963.2,15741,126,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,211,16,5340.2,22026,144,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,212,11,4445.6,17758,141,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,213,16,6208.7,25923,161,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,214,10,5196.5,21318,149,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,215,16,4728.9,19079,139,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,216,15,5256.3,21752,141,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,217,13,4371.2,17606,132,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,218,12,4423.6,17828,135,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,219,10,3944.0,15410,136,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,220,15,4415.4,17612,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,221,13,4673.4,19132,130,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,222,16,4310.9,17185,131,5,1
旧配置 1200x6 无透镜/无贝叶斯,300,223,14,4802.7,19613,135,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,224,11,3964.9,15209,147,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,225,13,4713.4,19317,132,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,226,12,3635.1,14216,123,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,227,13,5473.4,22862,140,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,228,11,4921.3,19972,148,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,229,16,4222.1,16691,134,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,230,16,5129.0,21110,138,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,231,11,5298.6,22083,140,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,232,12,4759.1,19361,139,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,233,11,4046.5,15987,133,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,234,15,4574.0,18640,129,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,235,15,5856.3,24352,155,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,236,11,4344.5,17268,139,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,237,11,3208.6,11903,130,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,238,12,5715.7,23759,152,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,239,10,3139.5,11622,128,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,240,16,4130.0,16345,130,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,241,16,4794.0,19730,128,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,242,12,4637.0,18695,140,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,243,13,4601.9,18475,141,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,244,10,4596.3,18687,136,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,245,15,5391.8,22254,148,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,246,15,4225.1,16945,128,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,247,10,3917.0,15290,136,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,248,14,6308.0,26425,163,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,249,12,3208.1,12265,117,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,250,12,4519.7,18164,138,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,251,16,4402.4,17737,129,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,252,11,3440.9,13125,127,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,253,15,6106.4,25602,156,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,254,13,4709.5,19057,140,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,255,11,3661.3,14127,131,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,256,10,4258.3,16947,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,257,14,4954.4,20447,132,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,258,16,4527.6,18113,140,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,259,10,4883.8,19809,148,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,260,10,4891.9,19955,143,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,261,10,3874.3,14986,139,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,262,12,3990.2,15741,131,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,263,13,4329.2,17266,137,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,264,14,5459.2,22756,140,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,265,13,4687.2,19031,137,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,266,16,5419.7,22694,136,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,267,14,4501.8,17974,140,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,268,15,3717.5,14382,130,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,269,16,4915.5,20522,123,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,270,14,4938.2,20191,140,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,271,15,3705.7,14679,117,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,272,16,4546.9,18405,131,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,273,12,4866.4,19787,144,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,274,14,4626.6,18798,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,275,16,4156.2,16436,132,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,276,14,5953.1,25065,145,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,277,10,4022.0,15625,142,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,278,15,4825.3,19812,132,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,279,16,5162.0,21410,134,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,280,10,4372.2,17551,136,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,281,13,3929.7,15663,122,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,282,13,5114.2,20686,153,3,1
旧配置 1200x6 无透镜/无贝叶斯,300,283,13,4482.7,18073,135,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,284,11,4371.6,17568,135,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,285,15,4800.6,19733,131,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,286,13,4953.2,20391,136,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,287,11,4544.3,18326,138,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,288,11,5323.8,22149,141,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,289,14,4960.0,20300,139,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,290,16,4605.3,18611,134,2,1
旧配置 1200x6 无透镜/无贝叶斯,300,291,10,3433.2,13166,126,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,292,13,5373.8,22199,147,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,293,10,3198.4,11922,128,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,294,12,4147.5,16522,131,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,295,16,4365.8,17624,128,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,296,16,5056.0,20895,134,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,297,12,4368.4,17497,136,0,1
旧配置 1200x6 无透镜/无贝叶斯,300,298,14,5006.7,20773,131,1,1
旧配置 1200x6 无透镜/无贝叶斯,300,299,12,4815.6,19498,145,0,1
旧配置 1200x6 无透镜/无贝叶斯,500,0,15,4485.2,18196,129,1,1
旧配置 1200x6 无透镜/无贝叶斯,500,1,10,3893.6,15323,131,0,1
旧配置 1200x6 无透镜/无贝叶斯,500,2,10,4577.3,18746,131,0,1
旧配置 1200x6 无透镜/无贝叶斯,500,3,16,4336.1,17416,130,0,1
旧配置 1200x6 无透镜/无贝叶斯,500,4,10,4668.5,18977,139,1,1
旧配置 1200x6 无透镜/无贝叶斯,500,5,14,4446.3,18297,120,1,1
旧配置 1200x6 无透镜/无贝叶斯,500,6,15,5697.9,23659,152,0,1
旧配置 1200x6 无透镜/无贝叶斯,500,7,11,3862.9,15205,129,0,1
旧配置 1200x6 无透镜/无贝叶斯,500,8,15,3968.0,15940,117,3,1
旧配置 1200x6 无透镜/无贝叶斯,500,9,11,3724.6,14683,123,0,1
旧配置 1200x6 无透镜/无贝叶斯,500,10,14,4229.3,17301,117,1,1
旧配置 1200x6 无透镜/无贝叶斯,500,11,10,3834.2,15036,129,3,1
旧配置 1200x6 无透镜/无贝叶斯,500,12,12,4751.8,19714,126,0,1
旧配置 1200x6 无透镜/无贝叶斯,500,13,12,4397.4,17527,141,0,1
旧配置 1200x6 无透镜/无贝叶斯,500,14,12,3985.5,15882,126,0,1
旧配置 1200x6 无透镜/无贝叶斯,500,15,10,3914.2,15386,131,2,1
旧配置 1200x6 无透镜/无贝叶斯,500,16,11,3952.0,15385,138,0,1
旧配置 1200x6 无透镜/无贝叶斯,500,17,14,4595.2,18801,128,1,1
旧配置 1200x6 无透镜/无贝叶斯,500,18,14,5219.6,21628,139,1,1
旧配置 1200x6 无透镜/无贝叶斯,500,19,13,3967.6,15693,127,2,1
旧配置 1200x6 无透镜/无贝叶斯,500,20,16,4550.3,18456,131,0,1
