experiment_id,experiment_type,repetition,number_of_points,angle_error,intersection_angle,status,area,area_lower,area_upper,diameter,diameter_upper,cover_radius,cover_radius_lower,centroid_x,centroid_y,centroid_error_bound,cover_center_x,cover_center_y,localization_error,valid_point_count,leaf_count,boundary_width,visited_cells,truth_feasible,runtime_s
angle_002_90,angle,2,2,1.0,90,sampled,1251.1767597198486,1247.9504356384277,1254.4030838012695,50.5249560794328,50.62647702923443,25.313238514617215,25.2624780397164,-259.99746281175186,-77.13422875341855,0.2604225453622975,-259.875,-77.396484375,16.733130204620412,18185,10422,0.03515625,60868,True,0.1609109001001343
angle_002_120,angle,2,2,1.0,120,sampled,1411.1031246185303,1407.7077827453613,1414.4984664916992,68.86523412572853,68.94226677497113,34.471133387485565,34.43261706286427,-258.234048228551,-72.16313997648672,0.33097606078403946,-258.57421875,-71.736328125,13.411744995069,19116,10955,0.03515625,61980,True,0.17303619999438524
angle_003_30,angle,3,2,1.0,30,sampled,2405.9690380096436,2399.35648727417,2412.581588745117,133.5810376352971,133.77904296423182,66.88952148211591,66.79051881764855,280.5595726907903,38.31229083546527,0.7333395173625754,279.5625,39.515625,4.668265004354529,37170,21310,0.03515625,82728,True,0.3198676999891177
angle_003_45,angle,3,2,1.0,45,sampled,1709.4541339874268,1704.9597129821777,1713.9485549926758,90.52679763184788,90.70162607773099,45.350813038865496,45.26339881592394,280.381135476282,39.374980684099114,0.47568673198098266,279.84375,39.8671875,4.192102064587644,25281,14492,0.03515625,69088,True,0.20726619998458773
angle_003_60,angle,3,2,1.0,60,sampled,1399.8336238861084,1396.4370460510254,1403.2302017211914,69.40312128001307,69.5011409967744,34.7505704983872,34.701560640006534,280.10777638293166,40.34379711767508,0.3364608810914504,279.720703125,40.623046875,3.8582575848534812,19085,10941,0.03515625,61952,True,0.16440510004758835
angle_003_90,angle,3,2,1.0,90,sampled,1217.5607585906982,1214.3124961853027,1220.8090209960938,49.32536513613445,49.43846328124822,24.731349012630364,24.674646195855363,279.5359202724568,42.055691286679995,0.26308636141298414,279.3473069110049,42.12489348832542,3.8080248837987916,18217,10450,0.03515625,60976,True,0.1540918000973761
angle_003_120,angle,3,2,1.0,120,sampled,1410.7952156066895,1406.9424133300781,1414.6480178833008,69.89413523158082,70.00586654058112,35.00293327029056,34.94706761579041,278.7848781899096,44.086649508942806,0.3813227864091205,279.31640625,44.05078125,4.703352030205154,21612,12396,0.03515625,64912,True,0.18721940007526428
angle_004_30,angle,4,2,1.0,30,sampled,2467.107130050659,2460.719524383545,2473.4947357177734,135.8932772558846,136.12910392186643,68.06455196093322,67.9466386279423,-275.5869170485689,120.58774630140167,0.7030854144253287,-274.88671875,119.14453125,11.994754453775505,35876,20570,0.03515625,81332,True,0.28062830003909767
angle_004_45,angle,4,2,1.0,45,sampled,1736.4137077331543,1731.9596099853516,1740.867805480957,91.53858509412933,91.7140857556841,45.85704287784205,45.769292547064666,-276.0223543944445,121.32189406809356,0.46931019290499243,-275.607421875,120.69140625,11.740837300780283,25110,14395,0.03515625,68860,True,0.20384169998578727
angle_004_60,angle,4,2,1.0,60,sampled,1414.7342262268066,1411.2658081054688,1418.2026443481445,69.93286428351819,70.05688889670141,35.028444448350704,34.96643214175909,-276.02350223691957,120.51281932381681,0.34266835412023866,-275.712890625,120.146484375,12.336414996557945,19476,11165,0.03515625,62436,True,0.16687079996336251
angle_004_90,angle,4,2,1.0,90,sampled,1222.5594520568848,1219.6830596923828,1225.4358444213867,49.39747127593711,49.494856133657024,24.747428066828512,24.698735637968554,-275.5053535437513,116.85920572556454,0.2323526391252165,-275.2734375,116.68359375,14.999298075883171,16115,9239,0.03515625,58596,True,0.13446530001237988
angle_004_120,angle,4,2,1.0,120,sampled,1409.9729919433594,1406.3139266967773,1413.6320571899414,69.71983866608907,69.85344285719857,34.926721428599286,34.85991933304454,-274.24515169759275,109.57662425640702,0.3616192824899073,-274.74609375,109.7578125,21.17461764533057,20623,11821,0.03515625,63688,True,0.19067299994640052
