outer_x,outer_y,inner_x,inner_y,diameter_x,diameter_y,mec_x,mec_y,diam_circle_x,diam_circle_y,observer_x,observer_y,truth_x,truth_y
,,,,,,15.645768487142366,-19.14678449189378,10.943518229215552,-15.768060592173125,,,,
,,,,,,15.787622151297803,-19.43129892616917,11.07624143287322,-16.034262155796473,,,,
,,,,,,15.934419671997357,-19.713294339716693,11.213590280026708,-16.29810683633842,,,,
,,,,,,16.086116333294157,-19.992684834001615,11.35552293288664,-16.559514264153336,,,,
,,,,,,16.242665926915656,-20.269385303972875,11.50199615739203,-16.818404812006413,,,,
,,,,,,16.40402076633911,-20.543311463986853,11.652965336379769,-17.07469961932884,,,,
,,,,,,16.570131701317344,-20.814379873481627,11.808384483175468,-17.328320616239516,,,,
,,,,,,16.74094813285042,-21.082507962393773,11.968206255601437,-17.579190547325915,,,,
,,,,,,16.91641802859855,-21.347614056309986,12.132381970397564,-17.827232995176786,,,,
,,,,,,17.096487938731677,-21.609617401345922,12.300861618050718,-18.072372403659678,,,,
,,,,,,17.2811030122108,-21.868438188744598,12.47359387802812,-18.31453410093604,,,,
,,,,,,17.470207013496122,-22.12399757918692,12.650526134410093,-18.55364432220702,,,,
,,,,,,17.663742339676972,-22.3762177268069,12.831604491917355,-18.789630232182894,,,,
,,,,,,17.86165003801817,-22.625021802904264,13.016773792328072,-19.022419947269448,,,,
,,,,,,18.063869823917624,-22.870334019347204,13.205977631279556,-19.251942557464375,,,,
,,,,,,18.270340099269603,-23.112079651658206,13.399158375449604,-19.47812814795717,,,,
,,,,,,18.48099797122812,-23.350185061775832,13.596257180112163,-19.700907820425876,,,,
,,,,,,18.69577927136468,-23.58457772048557,13.79721400706199,-19.92021371402413,,,,
,,,,,,18.914618575214636,-23.815186229512975,14.001967642902887,-20.135979026052283,,,,
,,,,,,19.13744922220608,-24.04194034327223,14.210455717693877,-20.348138032306117,,,,
,,,,,,19.364203335965335,-24.264770990263678,14.422614723947719,-20.556626107097117,,,,
,,,,,,19.594811844992734,-24.483610294113625,14.63838003597587,-20.761379742938008,,,,
,,,,,,19.829204503702478,-24.69839159425019,14.857685929574124,-20.96233656988784,,,,
,,,,,,20.067309913820097,-24.909049466208703,15.080465602042825,-21.159435374550394,,,,
,,,,,,20.309055546131102,-25.115519741560682,15.306651192535623,-21.35261611872044,,,,
,,,,,,20.554367762574042,-25.317739527460134,15.536173802730545,-21.541819957671926,,,,
,,,,,,20.803171838671414,-25.51564722580134,15.768963517817108,-21.726989258082646,,,,
,,,,,,21.05539198629139,-25.709182551982188,16.00494942779298,-21.908067615589907,,,,
,,,,,,21.310951376733712,-25.89828655326751,16.244059649063956,-22.084999871971878,,,,
,,,,,,21.56977216413238,-26.08290162674663,16.48622134634032,-22.25773213194928,,,,
,,,,,,21.83177550916833,-26.26297153687976,16.731360754823218,-22.42621177960244,,,,
,,,,,,22.09688160308454,-26.43844143262789,16.979403202674085,-22.590387494398563,,,,
,,,,,,22.36500969199668,-26.609257864160963,17.230273133760477,-22.75020926682453,,,,
,,,,,,22.636078101491453,-26.775368799139198,17.48389413067116,-22.905628413620228,,,,
,,,,,,22.910004261505428,-26.93672363856265,17.74018893799358,-23.056597592607968,,,,
,,,,,,23.186704731476695,-27.093273232184153,17.999079485846664,-23.20307081711336,,,,
,,,,,,23.46609522576162,-27.244969893480956,18.26048691366158,-23.345003469973292,,,,
,,,,,,23.748090639309133,-27.391767414180503,18.524331594203524,-23.48235231712678,,,,
,,,,,,24.032605073584527,-27.53362107833594,18.790533157826868,-23.615075520784444,,,,
,,,,,,24.319551862734976,-27.670487675947005,19.059010516956604,-23.743132652172747,,,,
,,,,,,24.60884359998876,-27.80232551612219,19.329681890788315,-23.866484703848933,,,,
,,,,,,24.90039216428029,-27.92909443977824,19.602464830199487,-23.98509410158313,,,,
,,,,,,25.194108747092603,-28.050755831872976,19.877276242864276,-24.098924715803793,,,,
