case1_poly_x,case1_poly_y,case1_mec_x,case1_mec_y,case1_diam_x,case1_diam_y,case2_poly_x,case2_poly_y,case2_mec_x,case2_mec_y,case2_diam_x,case2_diam_y,case3_poly_x,case3_poly_y,case3_mec_x,case3_mec_y,case3_diam_x,case3_diam_y
,,0.5176380902050415,1.9318516525781366,,,,,0.8351521776589281,2.2634029222413274,,,,,0.597716981445369,2.230710143300822,,
,,0.48384379119933535,1.940591452551993,,,,,0.7990330590013597,2.2727439614576115,,,,,0.5586946861893307,2.2408019950359606,,
,,0.44990210868772984,1.9487401295704705,,,,,0.7627564178475607,2.2814532124494105,,,,,0.5195022071196822,2.250211276776276,,
,,0.4158233816355189,1.9562952014676112,,,,,0.7263333044138465,2.289528022294503,,,,,0.48015148264521473,2.2589351223633978,,
,,0.38161799075308983,1.963254366895328,,,,,0.6897748135334067,2.296965931327589,,,,,0.4406544993778011,2.266970874429453,,
,,0.34729635533386083,1.969615506024416,,,,,0.653092081276714,2.3037646738895234,,,,,0.401023288481161,2.2743160852065163,,
,,0.31286893008046185,1.9753766811902755,,,,,0.6162962815593677,2.309922179017462,,,,,0.36126992200604974,2.280968517272231,,
,,0.27834620192013093,1.9805361374831407,,,,,0.5793986227384103,2.3154365710756926,,,,,0.3214065092129951,2.286926144231347,,
,,0.24373868681029498,1.985092303282644,,,,,0.5424103441981543,2.320306170326975,,,,,0.2814451928836994,2.2921871513329783,,
,,0.20905692653530691,1.9890437907365466,,,,,0.5053427129265566,2.3245294934442056,,,,,0.24139814562223055,2.2967499360233985,,
,,0.17431148549531628,1.992389396183491,,,,,0.4682070200831848,2.32810525396225,,,,,0.20127756614712883,2.30061310843419,,
,,0.13951294748825047,1.9951281005196484,,,,,0.4310145775598206,2.3310323626698155,,,,,0.1610956755755591,2.303775491805612,,
,,0.10467191248588793,1.9972590695091477,,,,,0.3937767145347483,2.333309927941234,,,,,0.12086471370064071,2.306236122845057,,
,,0.06979899340500216,1.9987816540381915,,,,,0.35650477402177555,2.33493725600806,,,,,0.08059693526308583,2.307994252020472,,
,,0.0349048128745672,1.9996953903127825,,,,,0.3192101094150446,2.3359138511704014,,,,,0.040304606218289775,2.3090493437886783,,
,,1.2246467991473532e-16,2.0,,,,,0.28190408103067616,2.33623941594791,,,,,1.414100318299876e-16,2.309401076758504,,
