experiment_id,experiment_type,method,repetition,number_points,intersection_angle,area,area_lower,area_upper,diameter,diameter_upper,cover_radius,cover_radius_lower,localization_error,centroid_error_bound,min_intersection_angle,dop,runtime,status,truth_feasible
angle_controlled_001_angle45,angle,controlled,1,2,45,1667.5709381103516,1658.7869567871094,1676.3549194335938,88.70330837406182,89.06085010807305,44.53042505403653,44.35165418703091,17.425908500232115,0.9333451226971814,45.00000000000001,2.0,0.10643059993162751,sampled,True
angle_controlled_001_angle60,angle,controlled,1,2,60,1377.9813537597656,1370.6150207519531,1385.3476867675781,68.38760890153662,68.62730528914858,34.31365264457429,34.19380445076831,15.679145009426485,0.7298262941749067,60.00000000000001,1.632993161855452,0.09476180002093315,sampled,True
angle_controlled_001_angle90,angle,controlled,1,2,90,1210.4170532226562,1204.4300537109375,1216.404052734375,49.280987435889,49.472026897151686,24.742900856793046,24.647101178542286,15.913551194506956,0.48699114444937236,90.0,1.4142135623730951,0.06183109991252422,sampled,True
angle_controlled_001_angle120,angle,controlled,1,2,120,1413.5090789794922,1406.5320739746094,1420.486083984375,70.16653795147444,70.41318572279494,35.20659286139747,35.08326897573722,20.623857872577133,0.6916972362301399,60.000000000000014,1.6329931618554518,0.09254480001982301,sampled,True
angle_controlled_002_angle30,angle,controlled,2,2,30,2622.474494934082,2610.2465057373047,2634.7024841308594,141.3806921827387,141.8246524961865,70.91232624809325,70.69034609136935,26.150585178936787,1.3164524867650556,30.000000000000004,2.8284271247461907,0.13793040008749813,sampled,True
angle_controlled_002_angle45,angle,controlled,2,2,45,1805.8460311889648,1796.7042388916016,1814.9878234863281,93.92194680842788,94.21003924285684,47.10501962142842,46.96097340421394,16.868188851808394,0.949040649132629,45.0,2.0000000000000004,0.09087140008341521,sampled,True
angle_controlled_002_angle60,angle,controlled,2,2,60,1454.5955429077148,1446.7440948486328,1462.4469909667969,71.2617967978729,71.4378114227956,35.7189057113978,35.63089839893645,12.690104827941274,0.7670572257388727,59.99999999999999,1.6329931618554523,0.078670599963516,sampled,True
angle_controlled_002_angle90,angle,controlled,2,2,90,1239.7853622436523,1233.0586395263672,1246.5120849609375,49.896243970398366,50.093350966322426,25.046675483161213,24.948121985199183,9.114722433712574,0.5406511272462456,90.0,1.4142135623730951,0.07019110000692308,sampled,True
angle_controlled_002_angle120,angle,controlled,2,2,120,1413.6790237426758,1406.9906158447266,1420.367431640625,69.22011188347037,69.47301985865629,34.73650992932814,34.61005594173518,8.27437872999393,0.6542868899497363,60.000000000000014,1.6329931618554518,0.06942059996072203,sampled,True
angle_controlled_003_angle30,angle,controlled,3,2,30,2661.234260559082,2648.8604278564453,2673.6080932617188,142.89814726987913,143.3422362881979,71.67111814409895,71.44907363493957,32.51438399611473,1.3268158901240705,29.999999999999993,2.8284271247461903,0.12221529998350888,sampled,True
angle_controlled_003_angle45,angle,controlled,3,2,45,1822.2460098266602,1813.009048461914,1831.4829711914062,94.58524945932744,94.7738689865291,47.38693449326455,47.29262472966372,22.02796669095522,0.9559712866416685,45.0,2.0,0.09946270007640123,sampled,True
angle_controlled_003_angle60,angle,controlled,3,2,60,1463.3832321166992,1455.4947052001953,1471.2717590332031,71.54401392817626,71.79074970470822,35.89537485235411,35.77200696408813,17.71022697243085,0.7698418159996845,60.00000000000001,1.632993161855452,0.08011719991918653,sampled,True
angle_controlled_003_angle90,angle,controlled,3,2,90,1242.9352111816406,1236.1720275878906,1249.6983947753906,50.00721688639207,50.24742005970307,25.123710029851534,25.003608443196036,15.346808726671961,0.5438632687643434,90.0,1.4142135623730951,0.06801980000454932,sampled,True
angle_controlled_003_angle120,angle,controlled,3,2,120,1413.3156509399414,1406.6099395751953,1420.0213623046875,69.13354770451818,69.43404766465554,34.71702383232777,34.56677385225909,17.970811932163496,0.655771377649599,60.000000000000014,1.632993161855452,0.07601760001853108,sampled,True
angle_controlled_004_angle30,angle,controlled,4,2,30,2475.3560943603516,2462.3031005859375,2488.4090881347656,135.82858210642198,136.2863942666583,68.14319713332915,67.91429105321099,9.269762699452931,1.4297853712095816,29.999999999999993,2.828427124746191,0.1443421000149101,sampled,True
angle_controlled_004_angle45,angle,controlled,4,2,45,1740.9895477294922,1732.5293884277344,1749.44970703125,91.509510484065,91.77720700205283,45.88860350102642,45.7547552420325,8.538960089479643,0.8876503147099616,45.00000000000001,2.0,0.09905580000486225,sampled,True
angle_controlled_004_angle60,angle,controlled,4,2,60,1419.040626525879,1411.5340118408203,1426.5472412109375,69.89778674636999,70.16260976533036,35.08130488266518,34.948893373184994,8.821384576868914,0.738403414329811,59.99999999999999,1.6329931618554525,0.08294689992908388,sampled,True
angle_controlled_004_angle90,angle,controlled,4,2,90,1226.7898406982422,1219.8573303222656,1233.7223510742188,49.359375,49.57036236699619,24.785181183498096,24.6796875,10.631919787330776,0.5570897716992823,90.0,1.4142135623730951,0.08542599994689226,sampled,True
angle_controlled_004_angle120,angle,controlled,4,2,120,1413.9157104492188,1406.4554443359375,1421.3759765625,69.62096849477454,69.88652213812404,34.94326106906202,34.81048424738727,14.981490350600284,0.7336159629530661,60.000000000000014,1.6329931618554518,0.0778442999580875,sampled,True
